,name,company,year,Price,kms_driven,fuel_type
0,Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014.0,325000.0,28000.0,Petrol
1,EcoSport Titanium 1.5L TDCi,Ford,2014.0,575000.0,36000.0,Diesel
2,Figo,Ford,2012.0,175000.0,41000.0,Diesel
3,Eon,Hyundai,2013.0,190000.0,25000.0,Petrol
4,EcoSport Ambiente 1.5L TDCi,Ford,2016.0,830000.0,24530.0,Diesel
5,Suzuki Alto K10 VXi AMT,Maruti,2015.0,250000.0,60000.0,Petrol
6,Fabia Classic 1.2 MPI,Skoda,2010.0,182000.0,60000.0,Petrol
7,Suzuki Stingray VXi,Maruti,2015.0,315000.0,30000.0,Petrol
8,Elite i20 Magna 1.2,Hyundai,2014.0,415000.0,32000.0,Petrol
9,Scorpio SLE BS IV,Mahindra,2015.0,320000.0,48660.0,Diesel
10,A8,Audi,2017.0,1000000.0,4000.0,Petrol
11,Q7,Audi,2014.0,500000.0,16934.0,Diesel
12,Scorpio S10,Mahindra,2016.0,350000.0,43000.0,Diesel
13,Suzuki Alto 800,Maruti,2014.0,160000.0,35550.0,Petrol
14,Scorpio S10,Mahindra,2016.0,310000.0,39522.0,Diesel
15,Suzuki Alto 800 Lx,Maruti,2017.0,190000.0,72000.0,Petrol
16,Suzuki Vitara Brezza ZDi,Maruti,2016.0,290000.0,15975.0,Diesel
17,Bolero DI,Mahindra,2017.0,180000.0,23452.0,Diesel
18,Suzuki Swift Dzire ZDi,Maruti,2014.0,385000.0,35522.0,Diesel
19,Scorpio S10 4WD,Mahindra,2015.0,250000.0,48508.0,Diesel
20,Suzuki Swift Vdi BSIII,Maruti,2017.0,180000.0,15487.0,Petrol
21,Suzuki Wagon R VXi BS III,Maruti,2013.0,105000.0,39000.0,Petrol
22,Suzuki Wagon R VXi Minor,Maruti,2013.0,105000.0,39000.0,Petrol
23,Innova 2.0 G 8 STR BS IV,Toyota,2012.0,650000.0,82000.0,Diesel
24,Lodgy 85 PS RXL,Renault,2018.0,689999.0,20000.0,Diesel
25,Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012.0,448000.0,68000.0,Diesel
26,Suzuki Baleno Delta 1.2,Maruti,2017.0,549000.0,32000.0,Diesel
27,Duster 110 PS RxZ Diesel Plus,Renault,2012.0,501000.0,38000.0,Diesel
28,Duster 85 PS RxE Diesel,Renault,2013.0,489999.0,27000.0,Diesel
29,City 1.5 S MT,Honda,2011.0,280000.0,33000.0,Petrol
30,Suzuki Dzire,Maruti,2013.0,349999.0,46000.0,Diesel
31,Amaze,Honda,2013.0,284999.0,46000.0,Diesel
32,Amaze 1.5 SX i DTEC,Honda,2015.0,345000.0,36000.0,Diesel
33,City,Honda,2015.0,499999.0,55000.0,Petrol
34,Redi GO S,Datsun,2017.0,235000.0,16000.0,Petrol
35,Suzuki SX4 ZXI MT,Maruti,2010.0,249999.0,36000.0,Petrol
36,Pajero Sport Limited Edition,Mitsubishi,2015.0,1475000.0,47000.0,Diesel
37,Scorpio S10,Mahindra,2015.0,395000.0,35000.0,Diesel
38,Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017.0,220000.0,30874.0,Petrol
39,City ZX CVT,Honda,2017.0,170000.0,15000.0,Diesel
40,Indigo eCS LS CR4 BS IV,Tata,2017.0,200000.0,130000.0,Diesel
41,Scorpio SLE BS IV,Mahindra,2012.0,570000.0,19000.0,Diesel
42,Polo Highline Exquisite P,Volkswagen,2014.0,315000.0,60000.0,Petrol
43,Spark LS 1.0,Chevrolet,2010.0,110000.0,41000.0,Petrol
44,Duster 110PS Diesel RxZ,Renault,2012.0,501000.0,35000.0,Diesel
45,City,Honda,2015.0,448999.0,54000.0,Petrol
46,Cooper S 1.6,Mini,2013.0,1891111.0,13000.0,Petrol
47,Fabia 1.2L Diesel Ambiente,Skoda,2011.0,159500.0,38200.0,Diesel
48,Amaze,Honda,2015.0,344999.0,22000.0,Petrol
49,Duster,Renault,2014.0,449999.0,50000.0,Diesel
50,Cooper S 1.6,Mini,2013.0,1891111.0,13500.0,Petrol
51,Scorpio S4,Mahindra,2015.0,865000.0,30000.0,Diesel
52,Scorpio VLX 2WD BS IV,Mahindra,2014.0,699000.0,50000.0,Diesel
53,Quanto C8,Mahindra,2013.0,375000.0,20000.0,Diesel
54,EcoSport,Ford,2017.0,489999.0,39000.0,Petrol
55,Brio,Honda,2012.0,224999.0,30000.0,Petrol
56,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019.0,1200000.0,3600.0,Diesel
57,i20 Magna,Hyundai,2009.0,195000.0,32000.0,Petrol
58,Corolla Altis Diesel D4DG,Toyota,2010.0,351000.0,38000.0,Diesel
59,Verna Transform SX VTVT,Hyundai,2008.0,160000.0,45000.0,Petrol
60,Corolla Altis Petrol Ltd,Toyota,2009.0,240000.0,35000.0,Petrol
61,Fabia 1.2L Diesel Elegance,Skoda,2011.0,155000.0,45863.0,Diesel
62,3 Series 320i,BMW,2011.0,600000.0,60500.0,Petrol
63,Suzuki A Star Lxi,Maruti,2011.0,189500.0,12500.0,Petrol
64,Etios GD,Toyota,2013.0,350000.0,60000.0,Diesel
65,Figo Diesel EXI Option,Ford,2012.0,210000.0,35000.0,Diesel
66,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014.0,390000.0,35000.0,Petrol
67,Beat LT Diesel,Chevrolet,2012.0,135000.0,45000.0,Diesel
68,7 Series 740Li Sedan,BMW,2009.0,1600000.0,35000.0,Petrol
69,XUV500 W8 AWD 2013,Mahindra,2013.0,701000.0,38000.0,Diesel
70,i10 Magna 1.2,Hyundai,2014.0,265000.0,18000.0,Petrol
71,Verna Fluidic New,Hyundai,2015.0,525000.0,35000.0,Diesel
72,Suzuki Swift VXi 1.2 BS IV,Maruti,2013.0,372000.0,13349.0,Petrol
73,Suzuki Ertiga ZXI Plus,Maruti,2016.0,635000.0,29000.0,Petrol
74,EcoSport Titanium 1.5L TDCi,Ford,2014.0,550000.0,44000.0,Diesel
75,Suzuki Ertiga Vxi,Maruti,2016.0,575000.0,29000.0,Petrol
76,Suzuki Ertiga VDi,Maruti,2013.0,485000.0,42000.0,Diesel
77,Suzuki Alto LXi BS III,Maruti,2012.0,155000.0,14000.0,Petrol
78,Grand i10 Asta 1.1 CRDi,Hyundai,2014.0,345000.0,49000.0,Diesel
79,Amaze 1.2 S i VTEC,Honda,2014.0,325000.0,42000.0,Petrol
80,i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012.0,329500.0,36200.0,Diesel
81,Figo Diesel EXI,Ford,2014.0,195000.0,50000.0,Diesel
82,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,251111.0,55000.0,Petrol
83,Suzuki Ertiga ZXi,Maruti,2014.0,569999.0,45000.0,Petrol
84,Suzuki Ritz VXI,Maruti,2014.0,299999.0,19000.0,Petrol
85,Suzuki Dzire,Maruti,2009.0,220000.0,46000.0,Petrol
86,Suzuki Ritz LDi,Maruti,2013.0,399999.0,33000.0,Diesel
87,Suzuki Dzire VDI,Maruti,2015.0,450000.0,104000.0,Diesel
88,Etios Liva G,Toyota,2014.0,270000.0,55000.0,Petrol
89,i20 Sportz 1.4 CRDI,Hyundai,2011.0,350000.0,33333.0,Diesel
90,Spark,Chevrolet,2012.0,158400.0,33600.0,Petrol
91,Suzuki Alto K10 VXi AMT,Maruti,2017.0,350000.0,5600.0,Petrol
92,Micra XV,Nissan,2011.0,179000.0,41000.0,Petrol
93,Suzuki Swift,Maruti,2007.0,125000.0,70000.0,Petrol
94,Suzuki Alto 800,Maruti,2018.0,200000.0,7500.0,Petrol
95,Amaze 1.5 S i DTEC,Honda,2013.0,299000.0,45000.0,Diesel
96,Suzuki Alto 800 Vxi,Maruti,2015.0,220000.0,38000.0,Petrol
97,Beat,Chevrolet,2015.0,150000.0,30000.0,Petrol
98,City 1.5 V MT,Honda,2010.0,285000.0,35000.0,Petrol
99,EcoSport Trend 1.5L TDCi,Ford,2016.0,830000.0,24330.0,Diesel
100,i20 Asta 1.2,Hyundai,2009.0,210000.0,65480.0,Petrol
101,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013.0,340000.0,41000.0,Petrol
102,Corolla Altis 1.8 GL,Toyota,2010.0,289999.0,70000.0,Petrol
103,Corolla Altis 1.8 J,Toyota,2012.0,349999.0,59000.0,Petrol
104,Innova 2.5 GX BS IV 7 STR,Toyota,2012.0,849999.0,99000.0,Diesel
105,Jetta Highline TDI AT,Volkswagen,2014.0,749999.0,46000.0,Diesel
106,Polo Comfortline 1.2L P,Volkswagen,2015.0,399999.0,2800.0,Petrol
107,Polo,Volkswagen,2014.0,274999.0,32000.0,Petrol
108,Scorpio,Mahindra,2015.0,984999.0,22000.0,Diesel
109,Sunny,Nissan,2012.0,224999.0,45000.0,Petrol
110,Elite i20,Hyundai,2018.0,599999.0,21000.0,Petrol
111,Kwid,Renault,2016.0,244999.0,11000.0,Petrol
112,Duster,Renault,2013.0,399999.0,41000.0,Diesel
113,Duster,Renault,2014.0,474999.0,50000.0,Diesel
114,Scorpio VLX Airbag,Mahindra,2011.0,499999.0,66000.0,Diesel
115,Suzuki Alto 800 Lxi,Maruti,2018.0,310000.0,3000.0,Petrol
116,Redi GO T O,Datsun,2016.0,245000.0,7000.0,Petrol
117,Suzuki Swift RS VDI,Maruti,2010.0,189500.0,38500.0,Diesel
118,Punto Emotion 1.2,Fiat,2012.0,169500.0,37200.0,Diesel
119,Suzuki Swift RS VDI,Maruti,2010.0,159500.0,43200.0,Diesel
120,Etios GD,Toyota,2013.0,275000.0,24800.0,Petrol
121,i20 Sportz 1.4 CRDI,Hyundai,2014.0,370000.0,60000.0,Diesel
122,i10 Sportz 1.2,Hyundai,2010.0,168000.0,45872.0,Petrol
123,Beat LT Opt Diesel,Chevrolet,2011.0,150000.0,40000.0,Diesel
124,Beat LS Diesel,Chevrolet,2011.0,145000.0,45000.0,Diesel
125,Corolla Altis 1.8 J,Toyota,2015.0,575000.0,42000.0,Petrol
126,City 1.5 V MT,Honda,2014.0,549000.0,39000.0,Petrol
127,Suzuki Swift VDi,Maruti,2011.0,209000.0,47000.0,Diesel
128,Eon Era Plus,Hyundai,2013.0,185000.0,27000.0,Petrol
129,Scorpio S10,Mahindra,2015.0,900000.0,97200.0,Diesel
130,XUV500,Mahindra,2014.0,699999.0,52000.0,Diesel
131,Fiesta,Ford,2011.0,274999.0,55000.0,Diesel
132,City,Honda,2015.0,599999.0,30000.0,Diesel
133,Suzuki Wagon R,Maruti,2012.0,199999.0,44000.0,Petrol
134,City,Honda,2014.0,544999.0,45000.0,Diesel
135,i20,Hyundai,2009.0,199000.0,31000.0,Petrol
136,Indigo eCS LX TDI BS III,Tata,2016.0,320000.0,175430.0,Diesel
137,Fluidic Verna 1.6 CRDi SX,Hyundai,2015.0,540000.0,38000.0,Diesel
138,Quanto C8,Mahindra,2013.0,340000.0,37000.0,Diesel
139,Suzuki Ciaz VXi Plus,Maruti,2016.0,700000.0,3350.0,Petrol
140,Creta 1.6 SX Plus Petrol,Hyundai,2017.0,895000.0,32000.0,Petrol
141,Scorpio SLX,Mahindra,2007.0,355000.0,75000.0,Diesel
142,Scorpio SLE BS IV,Mahindra,2012.0,565000.0,62000.0,Diesel
143,Innova 2.5 G BS III 8 STR,Toyota,2006.0,365000.0,73000.0,Diesel
144,Suzuki Alto K10 VXi AMT,Maruti,2011.0,145000.0,41000.0,Petrol
145,Suzuki Wagon R LXI BS IV,Maruti,2011.0,210000.0,35000.0,Petrol
146,Suzuki Alto Std BS IV,Maruti,2013.0,125000.0,39000.0,Petrol
147,Suzuki Wagon R LXi BS III,Maruti,2009.0,135000.0,45000.0,Petrol
148,Suzuki Swift VXI BSIII,Maruti,2006.0,135000.0,45000.0,Petrol
149,Sumo Victa EX 10 by 7 Str BSIII,Tata,2012.0,285000.0,65000.0,Diesel
150,Suzuki Wagon R LXi BS III,Maruti,2010.0,145000.0,54870.0,Petrol
151,Suzuki Alto LXi BS III,Maruti,2010.0,135000.0,34580.0,Petrol
152,Passat Diesel Comfortline AT,Volkswagen,2009.0,450000.0,97000.0,Diesel
153,Scala RxL Diesel Travelogue,Renault,2015.0,375000.0,25000.0,Diesel
154,Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014.0,365000.0,20000.0,Petrol
155,i20 Active 1.2 SX,Hyundai,2015.0,500000.0,18000.0,Petrol
156,Xylo E4,Mahindra,2012.0,400000.0,35000.0,Diesel
157,Bolero SLE BS IV,Mahindra,2013.0,330000.0,80200.0,Diesel
158,Motors  One LX ABS 7 STR,Force,2015.0,580000.0,3200.0,Diesel
159,Suzuki SX4,Maruti,2012.0,265000.0,46000.0,Diesel
160,Suzuki Alto 800,Maruti,2015.0,219000.0,5000.0,Petrol
161,Etios,Toyota,2011.0,275000.0,36000.0,Diesel
162,Polo,Volkswagen,2015.0,330000.0,38000.0,Diesel
163,City ZX VTEC,Honda,2008.0,110000.0,45000.0,Petrol
164,City VX O MT Diesel,Honda,2016.0,519000.0,52000.0,Diesel
165,Thar CRDe 4x4 AC,Mahindra,2016.0,730000.0,29000.0,Diesel
166,A4 1.8 TFSI Multitronic Premium Plus,Audi,2009.0,699000.0,47000.0,Petrol
167,Benz GLA Class 200 CDI Sport,Mercedes,2015.0,2000000.0,20000.0,Diesel
168,Rover Freelander 2 SE,Land,2015.0,2100000.0,30000.0,Diesel
169,Kwid RXT,Renault,2017.0,340000.0,5000.0,Petrol
170,Aria Pleasure 4X2,Tata,2014.0,390000.0,35000.0,Diesel
171,Benz B Class B180 Sports,Mercedes,2014.0,1400000.0,31000.0,Petrol
172,GO T O,Datsun,2016.0,245000.0,7000.0,Petrol
173,Indigo eCS LX TDI BS III,Tata,2016.0,320000.0,175400.0,Diesel
174,Jazz VX MT,Honda,2016.0,450000.0,41000.0,Petrol
175,Amaze 1.2 S i VTEC,Honda,2014.0,311000.0,33000.0,Petrol
176,City,Honda,2012.0,399999.0,45000.0,Petrol
177,City,Honda,2015.0,599999.0,39000.0,Diesel
178,Scorpio S4,Mahindra,2015.0,855000.0,30000.0,Diesel
179,i20 Active 1.4L SX O,Hyundai,2015.0,535000.0,37000.0,Diesel
180,Cooper S,Mini,2013.0,1891111.0,13000.0,Petrol
181,Suzuki Ciaz ZXI Plus,Maruti,2017.0,699000.0,14000.0,Petrol
182,Tavera Neo,Chevrolet,2013.0,375000.0,55000.0,Diesel
183,Eon Sportz,Hyundai,2012.0,178000.0,30000.0,Petrol
184,Sumo Gold Select Variant,Tata,2013.0,300000.0,50000.0,Diesel
185,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,255000.0,9300.0,Petrol
186,Enjoy 1.4 LS 8 STR,Chevrolet,2013.0,245000.0,55000.0,Diesel
187,Suzuki Wagon R 1.0 VXi,Maruti,2015.0,289999.0,22000.0,Petrol
188,Terrano XL D Plus,Nissan,2015.0,499999.0,60000.0,Diesel
189,Duster 85 PS RxE Diesel,Renault,2014.0,489999.0,59000.0,Diesel
190,Duster 85 PS RxL Diesel,Renault,2015.0,549999.0,19000.0,Diesel
191,Suzuki Dzire ZXI,Maruti,2013.0,380000.0,30000.0,Petrol
192,Kwid RXT Opt,Renault,2018.0,325000.0,15000.0,Petrol
193,Kwid 1.0 RXT AMT,Renault,2018.0,349999.0,10000.0,Petrol
194,Scala RxL Diesel,Renault,2014.0,349999.0,49000.0,Diesel
195,Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014.0,410000.0,41000.0,Petrol
196,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011.0,225000.0,45000.0,Petrol
197,Beat LS Petrol,Chevrolet,2010.0,120000.0,43000.0,Petrol
198,Beat LS Petrol,Chevrolet,2015.0,220000.0,32700.0,Petrol
199,EcoSport Titanium 1.5L TDCi,Ford,2016.0,599000.0,30000.0,Diesel
200,TUV300 T4 Plus,Mahindra,2016.0,675000.0,9000.0,Diesel
201,Indica V2 Xeta e GLE,Tata,2008.0,150000.0,11000.0,Petrol
202,Scorpio VLX Special Edition BS III,Mahindra,2004.0,230000.0,160000.0,Diesel
203,Accord,Honda,2009.0,175000.0,58559.0,Petrol
204,EcoSport Titanium 1.5 TDCi,Ford,2014.0,520000.0,57000.0,Diesel
205,Suzuki Ertiga,Maruti,2015.0,524999.0,50000.0,Diesel
206,Amaze,Honda,2014.0,299999.0,37000.0,Petrol
207,Suzuki Dzire,Maruti,2012.0,299999.0,40000.0,Petrol
208,City,Honda,2011.0,284999.0,55000.0,Petrol
209,Scorpio 2.6 CRDe,Mahindra,2007.0,220000.0,170000.0,Diesel
210,Suzuki Dzire,Maruti,2014.0,424999.0,55000.0,Diesel
211,City,Honda,2015.0,644999.0,39000.0,Petrol
212,Mobilio,Honda,2014.0,399999.0,44000.0,Petrol
213,Corolla Altis,Toyota,2009.0,199999.0,65000.0,Petrol
214,City,Honda,2014.0,584999.0,39000.0,Petrol
215,Laura,Skoda,2012.0,349999.0,44000.0,Diesel
216,Duster,Renault,2015.0,449999.0,49000.0,Diesel
217,Suzuki Ertiga,Maruti,2018.0,799999.0,9000.0,Diesel
218,Suzuki Dzire,Maruti,2015.0,444999.0,45000.0,Diesel
219,XUV500,Mahindra,2014.0,649999.0,47000.0,Diesel
220,Verna Fluidic,Hyundai,2012.0,444999.0,40000.0,Diesel
221,Suzuki Vitara Brezza,Maruti,2016.0,689999.0,29000.0,Diesel
222,Suzuki Wagon R,Maruti,2016.0,344999.0,15000.0,Petrol
223,Scorpio,Mahindra,2015.0,944999.0,45000.0,Diesel
224,Amaze,Honda,2014.0,274999.0,35000.0,Petrol
225,XUV500,Mahindra,2013.0,689999.0,80000.0,Diesel
226,Scorpio,Mahindra,2013.0,574999.0,68000.0,Diesel
227,Laura,Skoda,2013.0,374999.0,50000.0,Diesel
228,Polo,Volkswagen,2010.0,199999.0,60000.0,Diesel
229,Elite i20,Hyundai,2016.0,549999.0,9000.0,Petrol
230,Manza Aura Quadrajet,Tata,2012.0,130000.0,72000.0,Diesel
231,Sail UVA Petrol LT ABS,Chevrolet,2013.0,210000.0,60000.0,Petrol
232,Verna Fluidic 1.6 VTVT SX,Hyundai,2013.0,401000.0,45000.0,Diesel
233,A4 2.0 TDI 177bhp Premium,Audi,2012.0,1350000.0,40000.0,Diesel
234,Elantra SX,Hyundai,2013.0,600000.0,20000.0,Petrol
235,Scorpio VLX 4WD Airbag,Mahindra,2013.0,610000.0,35000.0,Diesel
236,KUV100 K8 D 6 STR,Mahindra,2016.0,400000.0,20000.0,Diesel
237,Grand i10,Hyundai,2017.0,524999.0,6821.0,Petrol
238,i20,Hyundai,2014.0,449999.0,23000.0,Petrol
239,Eon,Hyundai,2014.0,174999.0,14000.0,Petrol
240,i10,Hyundai,2012.0,244999.0,38000.0,Petrol
241,i20 Active,Hyundai,2015.0,574999.0,35000.0,Diesel
242,Redi GO,Datsun,2017.0,244999.0,22000.0,Petrol
243,Etios Liva,Toyota,2011.0,239999.0,41000.0,Petrol
244,Verna,Hyundai,2014.0,489999.0,44000.0,Diesel
245,Suzuki Swift,Maruti,2013.0,324999.0,45000.0,Diesel
246,Fortuner,Toyota,2011.0,1074999.0,52000.0,Diesel
247,i10 Sportz,Hyundai,2012.0,230000.0,34000.0,Petrol
248,Bolero Power Plus SLE,Mahindra,2018.0,699000.0,1800.0,Diesel
249,XUV500,Mahindra,2015.0,1000000.0,15000.0,Diesel
250,City 1.5 V MT Exclusive,Honda,2010.0,240000.0,400000.0,Petrol
251,Spark LT 1.0 Airbag,Chevrolet,2009.0,110000.0,44000.0,Petrol
252,XUV500,Mahindra,2016.0,1130000.0,72000.0,Diesel
253,Indigo eCS VX CR4 BS IV,Tata,2014.0,250000.0,40000.0,Diesel
254,Rapid Elegance 1.6 TDI CR MT,Skoda,2013.0,340000.0,48000.0,Diesel
255,Vista Quadrajet VX,Tata,2011.0,120000.0,90000.0,Diesel
256,Suzuki Alto K10 VXi AT,Maruti,2015.0,265000.0,12000.0,Petrol
257,i10 Magna 1.2,Hyundai,2011.0,175000.0,45000.0,Petrol
258,Suzuki Swift Dzire Tour LDi,Maruti,2016.0,350000.0,166000.0,Diesel
259,City ZX EXi,Honda,2008.0,149000.0,42000.0,Petrol
260,Beat Diesel,Chevrolet,2017.0,150000.0,62000.0,Diesel
261,City 1.5 S MT,Honda,2010.0,225000.0,70000.0,Petrol
262,Verna 1.4 VTVT,Hyundai,2014.0,375000.0,36000.0,Petrol
263,Suzuki Swift,Maruti,2014.0,335000.0,55000.0,Diesel
264,Elite i20 Asta 1.4 CRDI,Hyundai,2015.0,450000.0,20000.0,Diesel
265,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012.0,225000.0,40000.0,Petrol
266,Indigo LX TDI BS III,Tata,2016.0,130000.0,104000.0,Diesel
267,Vento Konekt Diesel Highline,Volkswagen,2011.0,245000.0,65000.0,Diesel
268,Benz C Class 200 CDI Classic,Mercedes,2002.0,399000.0,41000.0,Petrol
269,Suzuki Ertiga VDi,Maruti,2013.0,450000.0,90000.0,Diesel
270,Sonata Transform 2.4 GDi MT,Hyundai,2017.0,190000.0,36469.0,Diesel
271,Elite i20 Sportz 1.2,Hyundai,2018.0,600000.0,7800.0,Petrol
272,Suzuki Alto 800 Lxi,Maruti,2017.0,240000.0,60000.0,Petrol
273,Suzuki Alto LXi BS III,Maruti,2011.0,155000.0,32000.0,Petrol
274,Jazz S MT,Honda,2009.0,169999.0,24695.0,Petrol
275,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017.0,450000.0,15141.0,Petrol
276,Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012.0,165000.0,65000.0,Diesel
277,Suzuki Alto K10 VXi,Maruti,2014.0,270000.0,22000.0,Petrol
278,Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016.0,280000.0,59910.0,Diesel
279,XUV500 W8,Mahindra,2012.0,560000.0,100000.0,Diesel
280,Creta 1.6 SX Plus Petrol,Hyundai,2016.0,950000.0,25000.0,Petrol
281,i20 Magna O 1.2,Hyundai,2013.0,310000.0,35000.0,Petrol
282,Duster 85 PS RxL Explore LE,Renault,2015.0,715000.0,65000.0,Diesel
283,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014.0,340000.0,35000.0,Petrol
284,Brio V MT,Honda,2012.0,235000.0,33000.0,Petrol
285,TUV300 T4 Plus,Mahindra,2017.0,610000.0,68000.0,Diesel
286,TUV300 T8,Mahindra,2018.0,1000000.0,4500.0,Diesel
287,Suzuki Swift Dzire Tour LDi,Maruti,2015.0,220000.0,129000.0,Diesel
288,Suzuki Alto 800 Vxi,Maruti,2015.0,230000.0,5000.0,Petrol
289,Fortuner 3.0 4x4 MT,Toyota,2010.0,940000.0,131000.0,Diesel
290,Manza ELAN Quadrajet,Tata,2010.0,155555.0,111111.0,Petrol
291,Benz A Class A 180 Sport Petrol,Mercedes,2013.0,1500000.0,14000.0,Petrol
292,Beat LS Diesel,Chevrolet,2016.0,210000.0,22000.0,Diesel
293,EcoSport Trend 1.5L TDCi,Ford,2013.0,495000.0,38000.0,Diesel
294,Indigo LS,Tata,2016.0,125000.0,70000.0,Diesel
295,i20 Magna 1.2,Hyundai,2010.0,195000.0,36000.0,Petrol
296,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015.0,550000.0,34000.0,Diesel
297,Kwid RXT,Renault,2015.0,270000.0,43000.0,Petrol
298,EcoSport Titanium 1.5L TDCi,Ford,2014.0,500000.0,40000.0,Diesel
299,Amaze 1.5 E i DTEC,Honda,2016.0,240000.0,160000.0,Diesel
300,Verna 1.6 EX VTVT,Hyundai,2017.0,800000.0,12000.0,Petrol
301,5 Series 520d Sedan,BMW,2011.0,1299000.0,49000.0,Diesel
302,Superb 1.8 TFSI AT,Skoda,2011.0,530000.0,68000.0,Petrol
303,Q3 2.0 TDI quattro Premium,Audi,2013.0,1499000.0,37000.0,Diesel
304,Bolero DI BSII,Mahindra,2012.0,220000.0,59466.0,Diesel
305,Figo Duratorq Diesel Titanium 1.4,Ford,2012.0,250000.0,99000.0,Diesel
306,Suzuki Wagon R VXI BS IV,Maruti,2018.0,395000.0,25500.0,Petrol
307,Logan Diesel 1.5 DLS,Mahindra,2009.0,130000.0,66000.0,Petrol
308,TUV300 T4 Plus,Mahindra,2016.0,540000.0,35000.0,Diesel
309,Elite i20 Magna 1.2,Hyundai,2015.0,405000.0,28000.0,Petrol
310,Elite i20 Magna 1.2,Hyundai,2015.0,400000.0,30000.0,Petrol
